id,name,category,ingredients,amounts,minutes,servings,steps,image
1,鶏の唐揚げ,主菜,鶏もも肉;にんにく;しょうが;醤油;酒;片栗粉;サラダ油,300g;1片;1片;大さじ2;大さじ1;大さじ4;適量,30,2,鶏肉を一口大に切る;すりおろしたにんにくとしょうが、醤油、酒に20分漬ける;汁気を切って片栗粉をまぶす;170度の油で5分揚げる,karaage.jpg
2,鶏の照り焼き,主菜,鶏もも肉;醤油;酒;みりん;砂糖;サラダ油,300g;大さじ2;大さじ1;大さじ2;大さじ1;小さじ1,20,2,鶏肉の皮に数カ所穴をあける;皮を下にして中火で5分焼く;裏返して3分焼く;調味料を加えて煮からめる,teriyaki_chicken.jpg
3,鶏肉と大根の煮物,主菜,鶏もも肉;大根;しょうが;醤油;みりん;酒;砂糖;顆粒だし,250g;400g;1片;大さじ3;大さじ2;大さじ1;大さじ1;小さじ1,40,3,大根を乱切り、鶏肉を一口大に切る;鍋で鶏肉を軽く炒める;水と調味料を加えて煮立てる;落し蓋をして30分煮る,chicken_daikon.jpg
4,チキンソテー,主菜,鶏もも肉;塩;こしょう;オリーブオイル;にんにく,300g;小さじ1/2;少々;大さじ1;1片,20,2,鶏肉に塩こしょうをふる;皮目を下にしてフライパンに入れる;弱めの中火で8分焼く;裏返して4分焼く,chicken_saute.jpg
5,鶏むね肉のピカタ,主菜,鶏むね肉;卵;粉チーズ;小麦粉;塩;こしょう;オリーブオイル,300g;2個;大さじ2;大さじ3;小さじ1/2;少々;大さじ1,20,2,鶏肉を薄く切り塩こしょうをふる;小麦粉をまぶす;卵と粉チーズを混ぜた液にくぐらせる;中火で両面3分ずつ焼く,chicken_piccata.jpg
6,手羽元の甘辛煮,主菜,鶏手羽元;しょうが;醤油;みりん;砂糖;酒,8本;1片;大さじ3;大さじ2;大さじ2;大さじ2,35,3,手羽元に切り込みを入れる;鍋に並べて調味料と水を加える;煮立ったら弱火で25分煮る;煮汁が半分になるまで煮詰める,tebamoto_nizuke.jpg
7,鶏肉のトマト煮,主菜,鶏もも肉;玉ねぎ;ホールトマト缶;にんにく;オリーブオイル;塩;こしょう;顆粒コンソメ,300g;1個;1缶;1片;大さじ1;小さじ1;少々;小さじ1,35,3,鶏肉を一口大、玉ねぎを薄切りにする;にんにくと鶏肉を炒める;玉ねぎを加えてしんなりするまで炒める;トマト缶と調味料を加えて20分煮る,chicken_tomato.jpg
8,蒸し鶏のごまだれ,主菜,鶏むね肉;きゅうり;すりごま;醤油;酢;砂糖;ごま油;酒;塩,300g;1本;大さじ3;大さじ2;大さじ1;大さじ1;小さじ1;大さじ1;小さじ1/2,25,2,鶏肉に塩と酒をふって15分蒸す;粗熱をとって薄切りにする;きゅうりを細切りにする;調味料を混ぜたタレをかける,mushidori_goma.jpg
9,鶏つくね,主菜,鶏ひき肉;ねぎ;しょうが;卵;片栗粉;醤油;みりん;砂糖;サラダ油,300g;1/2本;1片;1個;大さじ1;大さじ2;大さじ2;大さじ1;小さじ1,25,3,ひき肉、みじん切りのねぎとしょうが、卵、片栗粉を混ぜる;小判形に成形する;中火で両面を焼く;醤油、みりん、砂糖を加えて煮からめる,tsukune.jpg
10,チキン南蛮,主菜,鶏むね肉;卵;小麦粉;醤油;酢;砂糖;マヨネーズ;サラダ油,300g;2個;大さじ4;大さじ2;大さじ3;大さじ2;大さじ3;適量,30,2,鶏肉を薄く開いて小麦粉をまぶす;溶き卵をつけて170度で5分揚げる;醤油、酢、砂糖を煮立てた南蛮酢に絡める;マヨネーズを添える,chicken_nanban.jpg
